ITEM_CODE,DRUG_NAME,FORM/STRENGTH,ATC5_Code,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07
03065H,PINDOLOL,Tablet 15 mg,C07AA03,14.30,14.30,14.30,14.30,14.30,14.30,14.30,14.30,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.35,14.54,14.54,14.54,14.54,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.45,14.62,14.74,14.74,14.74,14.74,14.74,14.74,14.74,14.74,14.74,14.74,14.74,15.11,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.71,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.44
03066J,AMINO ACID SYNTHETIC FORMULA,Oral powder 400 g (Neocate),V06DB,370.70,370.70,370.70,370.70,370.70,370.70,370.70,370.70,370.75,370.75,370.75,370.75,370.75,370.75,370.75,370.75,370.94,370.94,370.94,370.94,371.15,371.15,371.15,371.15,371.15,371.15,371.15,371.15,371.15,371.15,371.15,371.32,360.16,360.16,360.16,360.16,360.16,360.16,360.16,360.16,360.16,360.16,360.16,360.53,360.71,360.71,360.71,360.71,360.71,360.71,360.71,360.71,360.71,360.71,360.71,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,361.14,,,,
03072Q,AMINO ACID FORMULA without PHENYLALANINE,Oral powder 250 g (PK AID II),V06DX,1261.02,1261.02,1261.02,1261.02,1261.02,1261.02,1261.02,1261.02,1261.07,1261.07,1261.07,1261.07,1261.07,1261.07,1261.07,1261.07,1261.26,1261.26,1261.26,1261.26,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.15,1253.32,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.56,1202.93,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.43,1209.86,1209.86,1209.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03074T,PIZOTIFEN,Tablet 500 micrograms (as malate),N02CX01,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,20.10,20.10,20.10,20.10,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.98,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.47,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.85
03078B,AMINO ACID FORMULA with VITAMINS and MINERALS without PHENYLALANINE and TYROSINE,"Oral powder 500 g (XPhen, Tyr Maxamum)",V06DX,2226.14,2226.14,2226.14,2226.14,2226.14,2226.14,2226.14,2226.14,2226.19,2226.19,2226.19,2226.19,2226.19,2226.19,2226.19,2226.19,2226.38,2226.38,2226.38,2226.38,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.15,2181.32,2037.76,2037.76,2037.76,2037.76,2037.76,2037.76,2037.76,2037.76,2673.76,2673.76,2673.76,2674.13,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.31,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.74,2704.84
03079C,"AMINO ACID FORMULA without METHIONINE, THREONINE and VALINE and LOW IN ISOLEUCINE",Oral powder 200 g (XMTVI Asadon),V06DX,659.90,659.90,659.90,659.90,1081.60,1081.60,1081.60,1081.60,1081.65,1081.65,1081.65,1081.65,1081.65,1081.65,1081.65,1081.65,1081.84,1081.84,1081.84,1081.84,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.65,1080.82,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.34,1047.71,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1047.99,1048.42,1392.47,1392.47,1392.47,1392.47,1392.47,1392.47,1392.47,1392.47,1392.47,1392.47,,,,,,,,,,,,,,,,,,,,,,,,,,
03090P,SPECTINOMYCIN,Injection equivalent to 2 g spectinomycin with 3.2 mL diluent,J01XX04,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.83,23.88,23.88,23.88,23.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03092R,MILK POWDER SYNTHETIC LOW CALCIUM,Low calcium oral powder 400 g (Locasol),V06DF,295.90,295.90,295.90,295.90,295.90,295.90,295.90,295.90,295.95,295.95,295.95,295.95,295.95,295.95,295.95,295.95,296.14,296.14,296.14,296.14,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.35,296.52,287.84,287.84,287.84,287.84,287.84,287.84,287.84,287.84,380.4,380.4,380.4,380.77,380.95,380.95,380.95,380.95,380.95,380.95,380.95,380.95,380.95,380.95,380.95,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.38,381.48
03093T,HYDROXYCARBAMIDE (HYDROXYUREA),Capsule 500 mg,L01XX05,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.08,77.13,77.13,77.13,77.13,77.13,77.13,77.13,77.13,77.32,77.32,77.32,77.32,75.19,75.19,75.19,75.19,75.19,75.19,75.19,75.19,75.19,75.19,75.19,75.36,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.85,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.03,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.46,76.56
03094W,CEFALEXIN,"Granules for oral suspension 125 mg (as monohydrate) per 5 mL, 100 mL",J01DB01,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.43,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.71,11.71,11.71,11.71,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.46,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,12.09,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.41,11.44,11.44,11.44,11.87,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.83,11.84,11.84,11.84,11.84,11.84,11.84,11.69,11.69,11.69,11.69,11.69,11.69,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,10.78,10.78,10.78,10.88
03095X,CEFALEXIN,"Granules for oral suspension 250 mg (as monohydrate) per 5 mL, 100 mL",J01DB01,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.82,13.82,13.82,13.82,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.24,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.87,12.81,12.81,12.81,12.81,12.81,12.81,12.81,12.81,12.84,12.84,12.84,13.27,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.24,13.24,13.24,13.24,13.24,13.24,13.02,13.02,13.02,13.02,13.02,13.02,13.07,13.07,13.07,13.07,13.07,13.07,13.07,13.07,11.65,11.65,11.65,11.75
03096Y,HYDROCORTISONE SODIUM SUCCINATE,Injection 250 mg (as sodium succinate) with 2 mL solvent,H02AB09,11.87,11.87,11.87,11.87,12.22,12.22,12.22,12.22,12.27,12.27,12.27,12.27,12.27,12.27,12.27,12.27,14.72,14.72,14.72,14.72,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.61,14.78,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,15.27,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,16.11,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.92,15.72,15.72,15.72,15.72,15.72,15.72,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.54,15.64
03098C,FLUPHENAZINE DECANOATE,Injection 25 mg in 1 mL ampoule,N05AB02,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.48,24.67,24.67,24.67,24.67,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.42,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.54,24.91,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.38,26.48
03103H,TRIMETHOPRIM + SULFAMETHOXAZOLE,"Paediatric oral suspension 40 mg-200 mg per 5 mL, 100 mL",J01EE01,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.42,8.42,8.42,8.42,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.68,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,9.17,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,9.03
03104J,GLUCOSE INDICATOR URINE,"Test strips, 50 (Diastix)",V04B,15.07,15.07,15.07,15.07,16.98,16.98,16.98,16.98,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.22,17.22,17.22,17.22,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.03,17.2,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.32,17.69,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,18.84,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.92
03106L,GLUCOSE and KETONE INDICATOR URINE,"Test strips, 50 (Keto-Diabur-Test 5000)",V04B,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.51,15.51,15.51,15.51,15.51,15.51,15.51,15.51,15.70,15.70,15.70,15.70,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.72,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,16.21,16.87,16.87,16.87,16.87,16.87,16.87,16.87,16.87,16.87,16.87,16.87,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.4
03107M,GLUCOSE and KETONE INDICATOR URINE,"Test strips, 50 (Keto-Diastix)",V04B,15.57,15.57,15.57,15.57,15.56,15.56,15.56,15.56,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.61,15.80,15.80,15.80,15.80,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.84,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,16.33,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.42,17.52
03109P,AMILORIDE,Tablet containing amiloride hydrochloride 5 mg,C03DB01,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.58,8.58,8.58,8.58,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.84,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,10.17,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,13.36,,,,,,,,,,,
03112T,PREDNISOLONE ACETATE + PHENYLEPHRINE,"Eye drops containing prednisolone acetate 10 mg with phenylephrine hydrochloride 1.2 mg per mL, 10 mL",S01BB02,18.22,18.22,18.22,18.22,19.44,19.44,19.44,19.44,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,20.99,20.99,20.99,20.99,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,22.12,22.12,22.12,22.29,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.78,21.53,21.53,21.53,21.53,21.53,21.53,21.53,21.53,23.73,23.73,23.73,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,24.16,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.73,23.83
03113W,VANCOMYCIN,"Capsule 125 mg (125,000 I.U.) (as hydrochloride)",A07AA09,255.54,255.54,255.54,255.54,255.54,255.54,255.54,255.54,255.59,255.59,255.59,255.59,255.59,255.59,255.59,255.59,255.78,255.78,255.78,255.78,248.47,248.47,248.47,248.47,248.47,248.47,248.47,248.47,248.47,248.47,248.47,248.64,248.76,248.76,248.76,248.76,248.76,248.76,248.76,248.76,248.76,248.76,248.76,249.13,244.81,244.81,244.81,244.81,244.81,244.81,244.81,244.81,244.81,244.81,244.81,245.24,240.82,240.82,240.82,240.82,240.82,240.82,240.82,240.82,240.82,240.82,240.82,240.82,236.5,236.5,236.5,236.5,236.5,236.5,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.26,232.36
03114X,VANCOMYCIN,"Capsule 250 mg (250,000 I.U.) (as hydrochloride)",A07AA09,489.00,489.00,489.00,489.00,489.00,489.00,489.00,489.00,489.05,489.05,489.05,489.05,489.05,489.05,489.05,489.05,489.24,489.24,489.24,489.24,473.81,473.81,473.81,473.81,473.81,473.81,473.81,473.81,473.81,473.81,473.81,473.98,474.1,474.1,474.1,474.1,474.1,474.1,474.1,474.1,474.1,474.1,474.1,474.47,465.61,465.61,465.61,465.61,465.61,465.61,465.61,465.61,465.61,465.61,465.61,466.04,457.2,457.2,457.2,457.2,457.2,457.2,457.2,457.2,457.2,457.2,457.2,457.2,448.54,448.54,448.54,448.54,448.54,448.54,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.06,440.16
03116B,CALCIUM,"Tablet, chewable, 500 mg (as carbonate)",A12AA04,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.44,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.68,13.68,13.68,13.68,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.76,13.88,13.88,13.88,13.88,13.88,13.88,13.88,22.32,24.24,24.24,24.24,24.61,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63,26.59,26.59,26.59,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.46,30.56
03117C,CALCIUM,Tablet 600 mg (as carbonate),A12AA04,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.55,12.74,12.74,12.74,12.74,12.70,12.70,12.70,12.70,12.70,12.70,12.70,12.70,12.7,12.7,12.7,12.87,12.99,12.99,12.99,12.99,12.99,,,,,,,,,,,,,,,,,,,,,,,,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.3
03118D,MEDROXYPROGESTERONE,Injection containing medroxyprogesterone acetate 150 mg in 1 mL,G03AC06,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.22,13.22,13.22,13.22,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.18,13.35,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.47,13.84,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.21,14.64,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.32,14.32,14.32,14.32,21.59,21.59,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.29,21.39
03119E,CEFALEXIN,Capsule 500 mg (as monohydrate),J01DB01,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.26,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.50,11.50,11.50,11.50,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.69,10.86,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,10.98,11.35,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,9.1,9.1,9.1,9.2
03124K,METHENAMINE HIPPURATE,Tablet containing methenamine hippurate 1 g,J01XX05,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.50,32.69,32.69,32.69,32.69,32.01,32.01,32.01,32.01,32.01,32.01,32.01,32.01,37.05,37.05,37.05,37.22,37.34,37.34,37.34,37.34,37.34,37.34,37.34,37.34,38.44,38.44,38.44,38.81,40.49,40.49,40.49,40.49,40.49,40.49,40.49,40.49,41.95,41.95,41.95,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,43.25,43.25,43.25,43.25,43.25,43.25,43.25,43.35
03128P,MEDIUM CHAIN TRIGLYCERIDES,Oil 500 mL (MCT Oil),V06D,51.82,51.82,51.82,51.82,51.82,51.82,51.82,51.82,51.87,51.87,51.87,51.87,51.87,51.87,51.87,51.87,52.06,52.06,52.06,52.06,52.27,52.27,52.27,52.27,52.27,52.27,52.27,52.27,52.27,52.27,52.27,52.44,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.04,51.41,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,51.95,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.38,52.48
03130R,VANCOMYCIN,"Powder for injection 500 mg (500,000 I.U.) (as hydrochloride)",J01XA01,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.86,51.91,51.91,51.91,51.91,51.91,51.91,51.91,51.91,52.10,52.10,52.10,52.10,50.81,50.81,50.81,50.81,50.81,50.81,50.81,50.81,50.81,50.81,50.81,50.98,51.1,51.1,51.1,51.1,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.77,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.09,46.52,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,17.96,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.52,16.62
03131T,VANCOMYCIN,"Powder for injection 500 mg (500,000 I.U.) (as hydrochloride)",J01XA01,122.60,122.60,122.60,122.60,122.60,122.60,122.60,122.60,122.65,122.65,122.65,122.65,122.65,122.65,122.65,122.65,122.84,122.84,122.84,122.84,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.3,119.3,119.3,119.47,119.59,119.59,119.59,119.59,105.34,105.34,105.34,105.34,105.34,105.34,105.34,105.71,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,103.89,104.32,102.32,102.32,102.32,102.32,102.32,102.32,102.32,102.32,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.27,35.27,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.67,31.77
03132W,OXAZEPAM,Tablet 15 mg,N05BA04,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.23,6.23,6.23,6.23,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.56,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.05,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.7,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.51,7.51,7.51,7.51,7.51,7.51,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.65,7.65,7.65,7.75
03133X,OXAZEPAM,Tablet 30 mg,N05BA04,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.44,6.44,6.44,6.44,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.76,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,7.25,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.89,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.67,7.67,7.67,7.67,7.67,7.67,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.75
03134Y,OXAZEPAM,Tablet 15 mg,N05BA04,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.52,7.52,7.52,7.52,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.8,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.29,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.98,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.92,8.6,8.6,8.6,8.6,8.6,8.6,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.88,8.88,8.88,8.98
03135B,OXAZEPAM,Tablet 30 mg,N05BA04,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.70,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.94,7.94,7.94,7.94,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.2,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.69,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,9.36,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,8.92,8.92,8.92,8.92,8.92,8.92,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.98
